id_shoes;nom;categorie;marque;genre;Prix;materiaux;usage;caracteristiques;description;mots_cles;stock_total;url_image
1;Nova Air Lifestyle;Baskets lifestyle;UrbanStep;Mixte;89.99;"Tige: Mesh respirant; Semelle: EVA; Doublure: Textile recyclé";Quotidien,Ville,Loisirs;Ultra légères,Respirantes,Semelle amortissante,Usage quotidien,Lacets plats;Les Nova Air Lifestyle sont conçues pour offrir un confort optimal au quotidien. Leur tige en mesh respirant assure une excellente circulation de l'air même lors des longues journées. La semelle en EVA absorbe efficacement les chocs à chaque pas, réduisant la fatigue. Leur design épuré et moderne s'adapte aussi bien à une tenue décontractée qu'à un look urbain soigné. Légères et polyvalentes, elles sont idéales pour la ville, les courses et les sorties du week-end.;confort,ville,respirant,léger,quotidien,lifestyle,casual,urbain;1310;images/image1.png
2;RetroWave 90s;Baskets lifestyle;UrbanStep;Mixte;99.9;"Tige: Cuir synthétique; Semelle: Caoutchouc; Doublure: Textile";Ville,Loisirs,Mode;Style rétro années 90,Semelle épaisse,Confort toute journée,Languette rembourrée;Inspirées des icônes des années 90, les RetroWave 90s revivent avec une touche moderne. Leur tige en cuir synthétique vieilli et leur semelle épaisse en caoutchouc rappellent les classiques du streetwear, tout en offrant le confort contemporain. La languette généreusement rembourrée et le col moelleux garantissent un maintien du pied excellent. Un must-have pour les amateurs de mode rétro et de style urbain décalé.;rétro,90s,streetwear,mode,lifestyle,vintage,tendance;1348;images/image2.png
3;CloudStep Lite;Baskets lifestyle;UrbanStep;Femme;74.9;"Tige: Mesh doux; Semelle: Mousse mémoire; Doublure: Microfibre";Quotidien,Ville;Semelle mémoire de forme,Ultra douce,Légère,Lacets élastiques,Confort intensif;Les CloudStep Lite sont pensées pour les femmes qui recherchent avant tout le confort sans sacrifier le style. Leur semelle en mousse mémoire de forme s'adapte à la morphologie du pied pour un maintien personnalisé. La tige en mesh doux épouse le pied sans contraindre. Les lacets élastiques permettent d'enfiler et d'enlever les chaussures sans effort. Parfaites pour de longues journées debout ou pour se déplacer en ville.;confort,mousse mémoire,femme,légère,ville,quotidien,doux;1153;images/image3.png
4;NeoUrban Street;Baskets lifestyle;UrbanStep;Homme;109.9;"Tige: Mesh technique + Overlays synthétiques; Semelle: EVA bi-densité; Doublure: Textile";Ville,Mode,Quotidien;Look technique urbain,Semelle bi-densité,Amorti renforcé,Languette zippée,Anti-odeur;Les NeoUrban Street combinent esthétique technique et confort urbain dans un design masculin assumé. Les overlays en matière synthétique renforcent les zones d'usure tout en apportant une structure au pied. La semelle bi-densité offre un amorti adapté aux longues marches sur bitume. La languette zippée sur le côté facilite l'enfilage. Le traitement anti-odeur de la doublure assure une hygiène durable même lors d'une utilisation intensive.;technique,urbain,homme,amorti,quotidien,street,confort;1282;images/image4.png
5;AirFlex Pastel;Baskets lifestyle;FlyMotion;Femme;84.9;"Tige: Mesh coloré; Semelle: EVA; Doublure: Textile doux";Quotidien,Ville,Loisirs;Coloris pastel tendance,Légères,Respirantes,Semelle flexible,Style décontracté;Les AirFlex Pastel apportent une touche de couleur douce et tendance à votre garde-robe. Disponibles en trois coloris pastel exclusifs, elles combinent légèreté et respirabilité pour un port agréable toute la journée. La semelle flexible en EVA offre un bon retour d'énergie et absorbe les chocs sur les surfaces dures. Idéales pour les tenues printanières et estivales, elles s'associent facilement à des robes, jupes ou jeans.;pastel,tendance,couleur,légère,femme,printanier,été,lifestyle;1273;images/image5.png
6;StreetWave Bold;Baskets lifestyle;UrbanStep;Mixte;119.0;"Tige: Cuir synthétique + Mesh; Semelle: Caoutchouc vulcanisé; Doublure: Textile";Ville,Mode,Streetwear;Design bold statement,Semelle plateforme 3cm,Renforts latéraux,Style oversize;Les StreetWave Bold s'imposent comme une pièce maîtresse de tout outfit streetwear. Leur semelle plateforme de 3cm donne une stature affirmée, tandis que le colorblock audacieux ne laisse personne indifférent. La combinaison cuir synthétique et mesh offre à la fois structure et respirabilité. Les renforts latéraux stabilisent le pied sur les terrains urbains variés. Pour ceux qui veulent se démarquer sans compromis sur le confort.;streetwear,plateforme,bold,mode,statement,urbain,tendance,colorblock;1551;images/image6.png
7;Velocity Pro X;Baskets sport;Athletica;Mixte;119.9;"Tige: Synthétique renforcé; Semelle: Caoutchouc haute résistance; Doublure: Microfibre";Sport,Fitness,Salle de sport;Stabilité renforcée,Semelle grip multi-surfaces,Maintien latéral,Languette anti-slip,Résistant abrasion;Les Velocity Pro X sont conçues pour les sportifs qui ne font aucun compromis sur la performance. La tige en synthétique renforcé offre un maintien latéral exceptionnel lors des changements de direction rapides. La semelle en caoutchouc haute résistance garantit une adhérence optimale sur sols lisses, parquet et béton. La languette anti-slip maintient les lacets en place pendant toute l'activité. Idéales pour la musculation, le HIIT, le crossfit et les entraînements polyvalents.;sport,fitness,salle,crossfit,HIIT,stabilité,performance,grip,musculation;1746;images/image7.png
8;FlexRun Training;Baskets sport;Athletica;Mixte;99.99;"Tige: Mesh; Semelle: EVA; Doublure: Textile anti-bactérien";Fitness,Cardio,Salle de sport;Flexibles,Respirantes,Amorti léger,Légères,Grip modéré,Bonne flexibilité;Les FlexRun Training sont parfaites pour les séances de fitness polyvalent et de cardio en salle. Leur tige en mesh assure une excellente ventilation pendant les efforts intenses. La semelle souple en EVA offre un amorti léger et une grande flexibilité permettant des mouvements naturels du pied. La doublure anti-bactérienne limite le développement des odeurs. Un excellent rapport qualité-prix pour débuter ou intensifier sa pratique sportive.;fitness,cardio,salle,léger,flexible,sport,respirant,entraînement;1477;images/image8.png
9;PowerGrip Court;Baskets sport;Athletica;Homme;129.9;"Tige: Synthétique; Semelle: Caoutchouc usiné; Doublure: Textile respirant";Tennis,Padel,Sports de raquette;Semelle usinée pour courts,Renfort orteil,Stabilité latérale,Amorti ciblé talon,Durabililté renforcée;Les PowerGrip Court sont spécialement conçues pour les sports de raquette sur tous types de surfaces. La semelle en caoutchouc usinée offre une accroche précise sur terre battue, résine et béton. Le renfort au niveau des orteils protège contre l'usure liée aux changements de direction fréquents. La stabilité latérale empêche les entorses lors des appuis rapides. Un choix incontournable pour le tennis, le padel et le badminton.;tennis,padel,raquette,court,sport,grip,latéral,stabilité,badminton;1132;images/image9.png
10;MaxBoost Gym;Baskets sport;FlyMotion;Mixte;109.0;"Tige: Mesh renforcé; Semelle: Caoutchouc plat; Doublure: Microfibre";Musculation,Crossfit,Sport;Semelle plate idéale musculation,Très stable,Faible drop,Renfort talon rigide,Excellent transfert de force;Les MaxBoost Gym sont le choix des pratiquants de musculation sérieux. Leur semelle plate en caoutchouc avec un drop minimal favorise un meilleur transfert de force vers le sol lors des squats, soulevés de terre et presses. Le renfort talon rigide assure une stabilité maximale sous les charges lourdes. Légèrement plus rigides que des baskets classiques, elles offrent le maintien nécessaire pour progresser en toute sécurité.;musculation,squat,soulevé de terre,crossfit,plat,stable,force,powerlifting;1668;images/image10.png
11;AeroBoost React;Baskets sport;FlyMotion;Mixte;134.9;"Tige: Mesh technique; Semelle: Mousse réactive; Doublure: Textile";Sport,HIIT,Cardio intense;Mousse réactive haute énergie,Rebond optimal,Légère,Respirante,Confort intensif;Les AeroBoost React exploitent une technologie de mousse réactive haute performance pour maximiser le rebond à chaque foulée. Idéales pour les séances de HIIT intensives, elles absorbent les impacts tout en restituant l'énergie pour enchaîner les mouvements. La tige en mesh technique assure une ventilation optimale lors des efforts soutenus. Leur légèreté remarquable réduit la fatigue musculaire pendant les longs entraînements.;HIIT,réactif,rebond,cardio,sport,légère,énergie,entraînement intensif;1369;images/image11.png
12;AeroRun 5 Pro;Running;FlyMotion;Mixte;139.0;"Tige: Mesh technique ultra-léger; Semelle: Mousse réactive; Doublure: Textile";Running,Course à pied,Route;Amorti dynamique,Légèreté extrême,Idéale longues distances,Drop 8mm,Semelle anti-dérapante route;Les AeroRun 5 Pro représentent l'équilibre parfait entre légèreté, amorti et dynamisme pour les coureurs de fond. La mousse réactive de la semelle absorbe efficacement les chocs des longues distances tout en restituant l'énergie pour maintenir l'allure. Le mesh ultra-léger de la tige réduit le poids total à seulement 265 grammes. Le drop de 8mm convient à une large majorité de coureurs. Que vous vous prépariez à un 10km ou un marathon, les AeroRun 5 Pro vous accompagnent.;running,course,marathon,longue distance,route,léger,amorti,drop 8mm;1724;images/image12.png
